Grupo 1,Grupo 2,Grupo 3,Grupo 4,Grupo 5
2RY012002,2RY012002,2RY012002,2RY012002,2RY012002
2RY012003,2RY012003,2RY012003,2RY012003,2RY012003
2RY012004,2RY012004,2RY012004,2RY012004,2RY012004
2RY012005,2RY012005,2RY012005,2RY012005,2RY012005
2RY012006,2RY012006,2RY012006,2RY012006,2RY012006
2RY012007,2RY012007,2RY012007,2RY012007,2RY012007
2RY012008,2RY012008,2RY012008,2RY012008,2RY012008
2RY012009,2RY012009,2RY012009,2RY012009,2RY012009
2RY012010,2RY012010,2RY012010,2RY012010,2RY012010
2RY012011,2RY012011,2RY012011,2RY012011,2RY012011
2RY012012,2RY012012,2RY012012,2RY012012,2RY012012
2RY012013,2RY012013,2RY012013,2RY012013,2RY012013
2RY012014,2RY012014,2RY012014,2RY012014,2RY012014
2RY012015,2RY012015,2RY012015,2RY012015,2RY012015
2RY012016,2RY012016,2RY012016,2RY012016,2RY012016
2RY012017,2RY012017,2RY012017,2RY012017,2RY012017
2RY012018,2RY012018,2RY012018,2RY012018,2RY012018
2RY012019,2RY012019,2RY012019,2RY012019,2RY012019
2RY012020,2RY012020,2RY012020,2RY012020,2RY012020
2RY012021,2RY012021,2RY012021,2RY012021,2RY012021
,2RY012022,,,2RY012022
2RY013001,2RY013001,2RY013001,2RY013001,2RY013001
2RY013002,2RY013002,2RY013002,2RY013002,2RY013002
2RY013003,2RY013003,2RY013003,2RY013003,2RY013003
2RY013004,2RY013004,2RY013004,2RY013004,2RY013004
2RY013005,2RY013005,2RY013005,2RY013005,2RY013005
2RY013006,2RY013006,2RY013006,2RY013006,2RY013006
2RY013007,2RY013007,2RY013007,2RY013007,2RY013007
2RY013008,2RY013008,2RY013008,2RY013008,2RY013008
2RY013009,2RY013009,2RY013009,2RY013009,2RY013009
2RY013010,2RY013010,2RY013010,2RY013010,2RY013010
2RY013011,2RY013011,2RY013011,2RY013011,2RY013011
2RY013012,2RY013012,2RY013012,2RY013012,2RY013012
2RY013013,2RY013013,2RY013013,2RY013013,2RY013013
2RY013014,2RY013014,2RY013014,2RY013014,2RY013014
2RY013015,2RY013015,2RY013015,2RY013015,2RY013015
2RY013016,2RY013016,2RY013016,2RY013016,2RY013016
2RY013017,2RY013017,2RY013017,2RY013017,2RY013017
2RY013018,2RY013018,2RY013018,2RY013018,2RY013018
2RY013019,2RY013019,2RY013019,2RY013019,2RY013019
2RY013020,2RY013020,2RY013020,2RY013020,2RY013020
2RY013021,2RY013021,2RY013021,2RY013021,2RY013021
2RY013022,2RY013022,2RY013022,2RY013022,2RY013022
2RY013023,2RY013023,2RY013023,2RY013023,2RY013023
2RY013024,2RY013024,2RY013024,2RY013024,2RY013024
2RY013025,2RY013025,2RY013025,2RY013025,2RY013025
2RY014001,2RY014001,2RY014001,2RY014001,2RY014001
2RY014002,2RY014002,2RY014002,2RY014002,2RY014002
2RY014003,2RY014003,2RY014003,2RY014003,2RY014003
2RY014004,2RY014004,2RY014004,2RY014004,2RY014004
2RY014005,2RY014005,2RY014005,2RY014005,2RY014005
2RY014006,2RY014006,2RY014006,2RY014006,2RY014006
2RY014007,2RY014007,2RY014007,2RY014007,2RY014007
2RY014008,2RY014008,2RY014008,2RY014008,2RY014008
2RY014009,2RY014009,2RY014009,2RY014009,2RY014009
2RY014010,2RY014010,2RY014010,2RY014010,2RY014010
2RY014011,2RY014011,2RY014011,2RY014011,2RY014011
2RY014012,2RY014012,2RY014012,2RY014012,2RY014012
2RY014013,2RY014013,2RY014013,2RY014013,2RY014013
2RY014014,2RY014014,2RY014014,2RY014014,2RY014014
2RY014015,2RY014015,2RY014015,2RY014015,2RY014015
2RY014016,2RY014016,2RY014016,2RY014016,2RY014016
2RY014017,2RY014017,2RY014017,2RY014017,2RY014017
2RY014018,2RY014018,2RY014018,2RY014018,2RY014018
2RY014019,2RY014019,2RY014019,2RY014019,2RY014019
2RY014020,2RY014020,2RY014020,2RY014020,2RY014020
2RY014021,2RY014021,2RY014021,2RY014021,2RY014021
2RY014022,2RY014022,2RY014022,2RY014022,2RY014022
2RY014023,2RY014023,2RY014023,2RY014023,2RY014023
2RY014024,2RY014024,2RY014024,2RY014024,2RY014024
2RY014025,2RY014025,2RY014025,2RY014025,2RY014025
2RY014026,2RY014026,2RY014026,2RY014026,2RY014026
2RY014027,2RY014027,2RY014027,2RY014027,2RY014027
2RY014028,2RY014028,2RY014028,2RY014028,2RY014028
2RY014029,2RY014029,2RY014029,2RY014029,2RY014029
2RY015001,2RY015001,2RY015001,2RY015001,2RY015001
2RY015002,2RY015002,2RY015002,2RY015002,2RY015002
2RY015003,2RY015003,2RY015003,2RY015003,2RY015003
2RY015004,2RY015004,2RY015004,2RY015004,2RY015004
2RY015005,2RY015005,2RY015005,2RY015005,2RY015005
2RY015006,2RY015006,2RY015006,2RY015006,2RY015006
2RY015007,2RY015007,2RY015007,2RY015007,2RY015007
2RY015008,2RY015008,2RY015008,2RY015008,2RY015008
2RY015009,2RY015009,2RY015009,2RY015009,2RY015009
2RY015010,2RY015010,2RY015010,2RY015010,2RY015010
2RY015011,2RY015011,2RY015011,2RY015011,2RY015011
2RY015012,2RY015012,2RY015012,2RY015012,2RY015012
2RY015013,2RY015013,2RY015013,2RY015013,2RY015013
2RY015014,2RY015014,2RY015014,2RY015014,2RY015014
2RY015015,2RY015015,2RY015015,2RY015015,2RY015015
2RY015016,2RY015016,2RY015016,2RY015016,2RY015016
2RY015017,2RY015017,2RY015017,2RY015017,2RY015017
2RY015018,2RY015018,2RY015018,2RY015018,2RY015018
2RY015019,2RY015019,2RY015019,2RY015019,2RY015019
2RY015020,2RY015020,2RY015020,2RY015020,2RY015020
2RY015021,2RY015021,2RY015021,2RY015021,2RY015021
2RY015022,2RY015022,2RY015022,2RY015022,2RY015022
2RY015023,2RY015023,2RY015023,2RY015023,2RY015023
2RY015024,2RY015024,2RY015024,2RY015024,2RY015024
2RY015025,2RY015025,2RY015025,2RY015025,2RY015025
2RY015026,2RY015026,2RY015026,2RY015026,2RY015026
2RY015027,2RY015027,2RY015027,2RY015027,2RY015027
2RY015028,2RY015028,2RY015028,2RY015028,2RY015028
2RY015029,2RY015029,2RY015029,2RY015029,2RY015029
2RY015030,2RY015030,2RY015030,2RY015030,2RY015030
2RY015031,2RY015031,2RY015031,2RY015031,2RY015031
2RY015032,2RY015032,2RY015032,2RY015032,2RY015032
2RY015033,2RY015033,2RY015033,2RY015033,2RY015033
2RY015034,2RY015034,2RY015034,2RY015034,2RY015034
2RY015035,2RY015035,2RY015035,2RY015035,2RY015035
2RY015036,2RY015036,2RY015036,2RY015036,2RY015036
2RY015037,2RY015037,2RY015037,2RY015037,2RY015037
2RY015038,2RY015038,2RY015038,2RY015038,2RY015038
2RY016001,2RY016001,2RY016001,2RY016001,2RY016001
2RY016002,2RY016002,2RY016002,2RY016002,2RY016002
2RY016003,2RY016003,2RY016003,2RY016003,2RY016003
2RY016004,2RY016004,2RY016004,2RY016004,2RY016004
2RY016005,2RY016005,2RY016005,2RY016005,2RY016005
2RY016006,2RY016006,2RY016006,2RY016006,2RY016006
2RY016007,2RY016007,2RY016007,2RY016007,2RY016007
2RY016008,2RY016008,2RY016008,2RY016008,2RY016008
2RY016009,2RY016009,2RY016009,2RY016009,2RY016009
2RY016010,2RY016010,2RY016010,2RY016010,2RY016010
2RY016011,2RY016011,2RY016011,2RY016011,2RY016011
2RY016012,2RY016012,2RY016012,2RY016012,2RY016012
2RY016013,2RY016013,2RY016013,2RY016013,2RY016013
2RY016014,2RY016014,2RY016014,2RY016014,2RY016014
2RY016015,2RY016015,2RY016015,2RY016015,2RY016015
2RY016016,2RY016016,2RY016016,2RY016016,2RY016016
2RY016017,2RY016017,2RY016017,2RY016017,2RY016017
2RY016018,2RY016018,2RY016018,2RY016018,2RY016018
2RY016019,2RY016019,2RY016019,2RY016019,2RY016019
2RY016020,2RY016020,2RY016020,,2RY016020
2RY017001,2RY017001,2RY017001,2RY017001,2RY017001
2RY017002,2RY017002,2RY017002,2RY017002,2RY017002
2RY017003,2RY017003,2RY017003,2RY017003,2RY017003
2RY017004,2RY017004,2RY017004,2RY017004,2RY017004
2RY017005,2RY017005,2RY017005,2RY017005,2RY017005
2RY017006,2RY017006,2RY017006,2RY017006,2RY017006
2RY017007,2RY017007,2RY017007,2RY017007,2RY017007
2RY017008,2RY017008,2RY017008,2RY017008,2RY017008
2RY017009,2RY017009,2RY017009,2RY017009,2RY017009
2RY017010,2RY017010,2RY017010,2RY017010,2RY017010
2RY017011,2RY017011,2RY017011,2RY017011,2RY017011
2RY017012,2RY017012,2RY017012,2RY017012,2RY017012
